LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice
43,id_43,Product A,Male,Location 53,Region 6,19250
44,id_44,Product C,NotSpecified,Location 54,Region 4,15600
45,id_45,Product A,Male,Location 46,Region 2,19250
46,id_46,Product B,Male,Location 44,Region 1,16600
47,id_47,Product B,Male,Location 39,Region 6,16600
48,id_48,Product B,Male,Location 30,Region 2,16600
49,id_49,Product D,Male,Location 56,Region 3,20250
50,id_50,Product A,Female,Location 44,Region 1,22250
51,id_51,Product B,Male,Location 57,Region 6,16600
52,id_52,Product A,Female,Location 39,Region 6,20250
53,id_53,Product D,Male,Location 59,Region 6,20250
54,id_54,Product B,Male,Location 44,Region 1,16600
55,id_55,Product B,Male,Location 60,Region 3,16600
56,id_56,Product B,Male,Location 29,Region 1,16600
57,id_57,Product B,Female,Location 44,Region 1,
58,id_58,Product B,Male,Location 61,Region 2,16600
59,id_59,Product B,Male,Location 62,Region 3,16600
60,id_60,Product B,Female,Location 6,Region 1,16600
61,id_61,Product A,Male,Location 23,Region 4,19250
62,id_62,Product C,NotSpecified,Location 64,Region 6,15600
63,id_63,Product C,Female,Location 65,Region 2,15600
64,id_64,Product D,Male,Location 66,Region 2,20250
65,id_65,Product B,Male,Location 23,Region 4,16600
66,id_66,Product A,Male,Location 19,Region 2,22250
67,id_67,Product A,Male,Location 50,Region 1,22250
68,id_68,Product D,Male,Location 68,Region 6,20250
69,id_69,Product A,Female,Location 61,Region 2,20250
70,id_70,Product B,Female,Location 10,Region 2,16600
71,id_71,Product C,Female,Location 64,Region 6,15600
72,id_72,Product B,Male,Location 70,Region 7,16600
73,id_73,Product B,Male,Location 72,Region 3,16600
74,id_74,Product A,Male,Location 40,Region 6,22250
75,id_75,Product A,Male,Location 20,Region 1,20750
76,id_76,Product A,Male,Location 73,Region 4,22250
77,id_77,Product A,Female,Location 20,Region 1,19250
78,id_78,Product D,Male,Location 75,Region 3,20250
79,id_79,Product D,Male,Location 76,Region 2,20250
80,id_80,Product D,Female,Location 77,Region 3,20250
81,id_81,Product A,Male,Location 2,Region 2,19250
82,id_82,Product B,Male,Location 4,Region 4,16600
83,id_83,Product A,Female,Location 78,Region 4,22250
84,id_84,Product D,Male,Location 79,Region 1,20250
85,id_85,Product B,Female,Location 80,Region 2,16600
86,id_86,Product A,Female,Location 25,Region 3,19250
87,id_87,Product A,Male,Location 11,Region 3,22250
88,id_88,Product B,Male,Location 81,Region 10,16600
89,id_89,Product A,Male,Location 82,Region 7,19250
90,id_90,Product B,Male,Location 32,Region 6,16600
91,id_91,Product A,Male,Location 84,Region 3,
92,id_92,Product D,Male,Location 34,Region 1,20250
93,id_93,Product B,Male,Location 87,Region 6,16600
94,id_94,Product B,Male,Location 17,Region 3,16600
95,id_95,Product A,Female,Location 49,Region 6,19250
96,id_96,Product B,Male,Location 53,Region 6,16600
97,id_97,Product B,Male,Location 2,Region 2,16600
98,id_98,Product A,Female,Location 47,Region 7,22250
99,id_99,Product A,Male,Location 89,Region 6,22250
100,id_100,Product B,Male,Location 90,Region 6,16600
101,id_101,Product B,Female,Location 22,Region 6,16600
102,id_102,Product A,Female,Location 22,Region 6,19250
103,id_103,Product B,Male,Location 91,Region 6,16600
104,id_104,Product A,Male,Location 25,Region 3,22250
105,id_105,Product A,Male,Location 62,Region 3,19250
106,id_106,Product B,Male,Location 94,Region 6,16600
107,id_107,Product B,Female,Location 38,Region 3,16600
108,id_108,Product A,Male,Location 42,Region 4,19250
109,id_109,Product B,Male,Location 6,Region 1,16600
110,id_110,Product A,Female,Location 3,Region 3,22250
111,id_111,Product B,Female,Location 97,Region 5,16600
112,id_112,Product C,NotSpecified,Location 98,Region 11,15600
113,id_113,Product B,Male,Location 18,Region 7,16600
114,id_114,Product D,Male,Location 86,Region 6,20250
115,id_115,Product B,Female,Location 13,Region 6,16600
116,id_116,Product A,Female,Location 25,Region 3,19250
117,id_117,Product A,Female,Location 6,Region 1,19250
118,id_118,Product A,Male,Location 94,Region 6,19250
119,id_119,Product C,NotSpecified,Location 101,Region 9,15600
120,id_120,Product A,Male,Location 87,Region 6,22250
121,id_121,Product A,Female,Location 9,Region 6,22250
122,id_122,Product B,Male,Location 73,Region 4,16600
123,id_123,Product D,Male,Location 102,Region 6,20250
124,id_124,Product B,Male,Location 23,Region 4,16600
125,id_125,Product B,Male,Location 10,Region 2,16600
126,id_126,Product A,Male,Location 26,Region 3,20750
127,id_127,Product A,Female,Location 87,Region 6,20250
128,id_128,Product B,Male,Location 61,Region 2,16600
129,id_129,Product B,Male,Location 11,Region 3,16600
130,id_130,Product B,Male,Location 25,Region 3,16600
131,id_131,Product C,Male,Location 27,Region 2,15600
132,id_132,Product B,Male,Location 84,Region 3,16600
133,id_133,Product C,NotSpecified,Location 105,Region 10,15600
134,id_134,Product A,Male,Location 88,Region 7,19250
135,id_135,Product D,Male,Location 106,Region 6,16600
136,id_136,Product B,Female,Location 39,Region 6,16600
137,id_137,Product D,Male,Location 41,Region 1,20250
138,id_138,Product A,Female,Location 21,Region 7,19250
139,id_139,Product C,Female,Location 107,Region 2,15600
140,id_140,Product B,Female,Location 53,Region 6,16600
141,id_141,Product B,Female,Location 49,Region 6,16600
142,id_142,Product B,Male,Location 82,Region 7,16600
143,id_143,Product C,NotSpecified,Location 110,Region 6,15600
144,id_144,Product B,Male,Location 111,Region 6,16600
145,id_145,Product C,NotSpecified,Location 112,Region 2,15600
146,id_146,Product A,Female,Location 60,Region 3,19250
147,id_147,Product A,Male,Location 2,Region 2,22250
148,id_148,Product A,Male,Location 111,Region 6,20250
149,id_149,Product A,Male,Location 19,Region 2,19250
150,id_150,Product A,Male,Location 4,Region 4,22250
151,id_151,Product B,Male,Location 113,Region 3,16600
152,id_152,Product A,Male,Location 20,Region 1,22250
153,id_153,Product E,Male,Location 10,Region 2,54625
154,id_154,Product E,Male,Location 53,Region 6,54625
155,id_155,Product B,Male,Location 84,Region 3,16600
156,id_156,Product A,Female,Location 10,Region 2,22250
157,id_157,Product A,Male,Location 39,Region 6,22250
158,id_158,Product A,Male,Location 114,Region 6,22250
159,id_159,Product A,Female,Location 60,Region 3,22250
160,id_160,Product C,NotSpecified,Location 115,Region 6,15600
161,id_161,Product A,Male,Location 26,Region 3,
162,id_162,Product B,Female,Location 117,Region 1,16600
163,id_163,Product A,Male,Location 25,Region 3,22250
164,id_164,Product D,Female,Location 118,Region 2,20250
165,id_165,Product A,Female,Location 61,Region 2,22250
166,id_166,Product B,Male,Location 19,Region 2,16600
167,id_167,Product A,Male,Location 70,Region 7,19250
168,id_168,Product A,Female,Location 3,Region 3,20250
169,id_169,Product B,Female,Location 27,Region 2,16600
170,id_170,Product D,Male,Location 122,Region 5,20250
171,id_171,Product B,Male,Location 39,Region 6,16600
172,id_172,Product B,Male,Location 123,Region 6,16600
173,id_173,Product D,Male,Location 124,Region 3,20250
174,id_174,Product A,Male,Location 86,Region 6,20250
175,id_175,Product B,Female,Location 25,Region 3,16600
176,id_176,Product A,Male,Location 22,Region 6,20250
177,id_177,Product A,Male,Location 49,Region 6,19250
178,id_178,Product B,Female,Location 34,Region 1,16600
179,id_179,Product A,Female,Location 113,Region 3,20750
180,id_180,Product D,Male,Location 125,Region 12,20250
181,id_181,Product A,Male,Location 58,Region 6,22250
182,id_182,Product B,Female,Location 62,Region 3,16600
183,id_183,Product A,Male,Location 26,Region 3,20250
184,id_184,Product D,Male,Location 127,Region 2,20250
185,id_185,Product B,Male,Location 21,Region 7,16600
186,id_186,Product A,Female,Location 22,Region 6,20250
187,id_187,Product A,Male,Location 46,Region 2,20750
188,id_188,Product B,Female,Location 49,Region 6,16600
189,id_189,Product B,Male,Location 48,Region 6,16600
190,id_190,Product A,Male,Location 86,Region 6,22250
191,id_191,Product A,Male,Location 18,Region 7,22250
192,id_192,Product A,Female,Location 30,Region 2,22250
193,id_193,Product B,Male,Location 49,Region 6,16600
194,id_194,Product E,Male,Location 84,Region 3,54625
195,id_195,Product B,Male,Location 35,Region 6,16600
196,id_196,Product A,Male,Location 53,Region 6,22250
197,id_197,Product B,Male,Location 73,Region 4,16600
198,id_198,Product D,Male,Location 135,Region 1,20250
199,id_199,Product A,Female,Location 60,Region 3,22250
200,id_200,Product C,Male,Location 136,Region 6,15600
201,id_201,Product D,Male,Location 24,Region 2,20250
202,id_202,Product B,Male,Location 137,Region 6,16600
203,id_203,Product E,Male,Location 73,Region 4,54625
204,id_204,Product B,Female,Location 28,Region 7,16600
205,id_205,Product B,Female,Location 58,Region 6,16600
206,id_206,Product A,Male,Location 111,Region 6,22250
207,id_207,Product A,Female,Location 44,Region 1,19250
208,id_208,Product A,Male,Location 47,Region 7,19250
209,id_209,Product A,Male,Location 21,Region 7,19250
210,id_210,Product A,Female,Location 11,Region 3,22250
211,id_211,Product C,Male,Location 138,Region 5,15600
212,id_212,Product A,Female,Location 11,Region 3,22250
213,id_213,Product C,NotSpecified,Location 139,Region 6,15600
214,id_214,Product B,Female,Location 73,Region 4,16600
215,id_215,Product A,Female,Location 32,Region 6,22250
216,id_216,Product A,Male,Location 22,Region 6,22250
217,id_217,Product B,Male,Location 140,Region 6,16600
218,id_218,Product A,Male,Location 9,Region 6,20750
219,id_219,Product A,Male,Location 3,Region 3,19250
220,id_220,Product B,Male,Location 67,Region 1,16600
221,id_221,Product B,Male,Location 141,Region 12,
222,id_222,Product B,Female,Location 17,Region 3,16600
223,id_223,Product A,Male,Location 142,Region 6,22250
224,id_224,Product A,Female,Location 45,Region 3,19250
225,id_225,Product B,Male,Location 23,Region 4,16600
226,id_226,Product B,Male,Location 6,Region 1,16600
227,id_227,Product A,Male,Location 19,Region 2,19250
228,id_228,Product A,Male,Location 48,Region 6,19250
229,id_229,Product B,Male,Location 8,Region 2,16600
230,id_230,Product D,Male,Location 143,Region 6,20250
231,id_231,Product A,Female,Location 44,Region 1,22250
232,id_232,Product C,Male,Location 145,Region 4,15600
233,id_233,Product B,Male,Location 21,Region 7,16600
234,id_234,Product B,Male,Location 62,Region 3,16600
235,id_235,Product E,Male,Location 1,Region 1,54625
236,id_236,Product A,Male,Location 62,Region 3,19250
237,id_237,Product A,Female,Location 18,Region 7,22250
238,id_238,Product B,Female,Location 6,Region 1,16600
239,id_239,Product A,Male,Location 91,Region 6,22250
240,id_240,Product A,Female,Location 25,Region 3,19250
241,id_241,Product A,Female,Location 17,Region 3,19250
242,id_242,Product A,Female,Location 22,Region 6,20750
243,id_243,Product A,Female,Location 29,Region 1,20750
244,id_244,Product B,Male,Location 91,Region 6,16600
245,id_245,Product B,Female,Location 25,Region 3,16600
246,id_246,Product A,Male,Location 149,Region 1,22250
247,id_247,Product B,Male,Location 9,Region 6,16600
248,id_248,Product B,Male,Location 3,Region 3,16600
249,id_249,Product B,Male,Location 21,Region 7,16600
250,id_250,Product B,Female,Location 44,Region 1,16600
251,id_251,Product C,Female,Location 152,Region 6,15600
252,id_252,Product A,Male,Location 58,Region 6,19250
253,id_253,Product D,Male,Location 153,Region 6,20250
254,id_254,Product A,Female,Location 22,Region 6,22250
255,id_255,Product A,Female,Location 3,Region 3,19250
256,id_256,Product A,Female,Location 3,Region 3,22250
257,id_257,Product A,Male,Location 6,Region 1,22250
258,id_258,Product A,Female,Location 45,Region 3,22250
259,id_259,Product B,Male,Location 155,Region 6,16600
260,id_260,Product D,Female,Location 156,Region 4,20250
261,id_261,Product B,Male,Location 135,Region 1,16600
262,id_262,Product B,Female,Location 84,Region 3,16600
263,id_263,Product B,Female,Location 40,Region 6,16600
264,id_264,Product A,Female,Location 62,Region 3,19250
265,id_265,Product B,Female,Location 45,Region 3,16600
266,id_266,Product B,Female,Location 157,Region 4,16600
267,id_267,Product C,NotSpecified,Location 158,Region 3,15600
268,id_268,Product B,Male,Location 13,Region 6,16600
269,id_269,Product A,Male,Location 39,Region 6,22250
270,id_270,Product A,Female,Location 17,Region 3,19250
271,id_271,Product A,Female,Location 67,Region 1,
272,id_272,Product A,Female,Location 26,Region 3,22250
273,id_273,Product C,NotSpecified,Location 159,Region 3,15600
274,id_274,Product C,Female,Location 160,Region 8,15600
275,id_275,Product B,Male,Location 144,Region 1,16600
276,id_276,Product A,Male,Location 91,Region 6,19250
277,id_277,Product B,Male,Location 70,Region 7,16600
278,id_278,Product E,Male,Location 26,Region 3,54625
279,id_279,Product B,Female,Location 30,Region 2,16600
280,id_280,Product B,Male,Location 73,Region 4,16600
281,id_281,Product B,Female,Location 10,Region 2,16600
282,id_282,Product A,Male,Location 38,Region 3,19250
283,id_283,Product A,Male,Location 3,Region 3,22250
284,id_284,Product A,Male,Location 109,Region 7,22250
285,id_285,Product B,Female,Location 4,Region 4,16600
286,id_286,Product A,Female,Location 86,Region 6,19250
287,id_287,Product A,Female,Location 25,Region 3,19250
288,id_288,Product C,NotSpecified,Location 166,Region 3,15600
289,id_289,Product E,Female,Location 88,Region 7,54625
290,id_290,Product B,Male,Location 50,Region 1,16600
291,id_291,Product B,Male,Location 88,Region 7,16600
292,id_292,Product C,NotSpecified,Location 34,Region 1,15600
293,id_293,Product D,Male,Location 168,Region 5,20250
294,id_294,Product A,Male,Location 42,Region 4,19250
295,id_295,Product A,Female,Location 70,Region 7,19250
296,id_296,Product C,NotSpecified,Location 74,Region 6,15600
297,id_297,Product C,NotSpecified,Location 143,Region 6,15600
298,id_298,Product A,Female,Location 29,Region 1,19250
299,id_299,Product B,Male,Location 46,Region 2,16600
300,id_300,Product D,Female,Location 79,Region 1,20250
301,id_301,Product A,Male,Location 17,Region 3,20750
302,id_302,Product B,Female,Location 9,Region 6,16600
303,id_303,Product B,Male,Location 169,Region 6,16600
304,id_304,Product B,Male,Location 62,Region 3,16600
305,id_305,Product A,Male,Location 61,Region 2,22250
306,id_306,Product B,Male,Location 91,Region 6,16600
307,id_307,Product A,Male,Location 23,Region 4,22250
308,id_308,Product A,Male,Location 32,Region 6,20250
309,id_309,Product B,Female,Location 23,Region 4,16600
310,id_310,Product A,Female,Location 84,Region 3,19250
311,id_311,Product A,Male,Location 91,Region 6,22250
312,id_312,Product B,Female,Location 38,Region 3,16600
313,id_313,Product C,NotSpecified,Location 172,Region 6,15600
314,id_314,Product B,Male,Location 69,Region 6,16600
315,id_315,Product B,Female,Location 19,Region 2,16600
316,id_316,Product C,Female,Location 173,Region 4,15600
317,id_317,Product B,Male,Location 117,Region 1,16600
318,id_318,Product D,Male,Location 174,Region 2,20250
319,id_319,Product A,Male,Location 69,Region 6,19250
320,id_320,Product D,Female,Location 12,Region 6,20250
321,id_321,Product B,Male,Location 175,Region 8,16600
322,id_322,Product A,Male,Location 91,Region 6,22250
323,id_323,Product B,Female,Location 44,Region 1,16600
324,id_324,Product A,Male,Location 30,Region 2,22250
325,id_325,Product A,Male,Location 3,Region 3,22250
326,id_326,Product A,Female,Location 61,Region 2,19250
327,id_327,Product E,Male,Location 22,Region 6,54625
328,id_328,Product C,Female,Location 129,Region 13,13775
329,id_329,Product B,Female,Location 6,Region 1,16600
330,id_330,Product B,Female,Location 4,Region 4,16600
331,id_331,Product A,Male,Location 3,Region 3,
332,id_332,Product A,Male,Location 49,Region 6,20750
333,id_333,Product B,Female,Location 26,Region 3,16600
334,id_334,Product A,Female,Location 26,Region 3,19250
335,id_335,Product A,Male,Location 111,Region 6,22250
336,id_336,Product A,Male,Location 62,Region 3,20250
337,id_337,Product A,Female,Location 22,Region 6,22250
338,id_338,Product A,Male,Location 46,Region 2,19250
339,id_339,Product B,Male,Location 45,Region 3,16600
340,id_340,Product C,NotSpecified,Location 178,Region 2,15600
341,id_341,Product A,Male,Location 111,Region 6,20250
342,id_342,Product A,Male,Location 70,Region 7,22250
343,id_343,Product A,Male,Location 58,Region 6,22250
344,id_344,Product B,Male,Location 25,Region 3,16600
345,id_345,Product A,Female,Location 25,Region 3,22250
346,id_346,Product D,Male,Location 30,Region 2,20250
347,id_347,Product B,Male,Location 58,Region 6,16600
348,id_348,Product A,Female,Location 49,Region 6,22250
349,id_349,Product A,Female,Location 91,Region 6,19250
350,id_350,Product B,Female,Location 24,Region 2,16600
351,id_351,Product B,Male,Location 39,Region 6,16600
352,id_352,Product C,Male,Location 181,Region 6,15600
353,id_353,Product A,Male,Location 6,Region 1,19250
354,id_354,Product B,Male,Location 10,Region 2,16600
355,id_355,Product A,Male,Location 94,Region 6,20250
356,id_356,Product B,Female,Location 60,Region 3,16600
357,id_357,Product A,Male,Location 91,Region 6,22250
358,id_358,Product B,Female,Location 17,Region 3,16600
359,id_359,Product C,Male,Location 182,Region 6,15600
360,id_360,Product A,Male,Location 9,Region 6,20250
361,id_361,Product A,Male,Location 88,Region 7,22250
362,id_362,Product D,Male,Location 53,Region 6,20250
363,id_363,Product B,Female,Location 73,Region 4,16600
364,id_364,Product A,Male,Location 53,Region 6,22250
365,id_365,Product B,Female,Location 8,Region 2,16600
366,id_366,Product B,Male,Location 46,Region 2,16600
367,id_367,Product B,Female,Location 19,Region 2,16600
368,id_368,Product D,Male,Location 184,Region 6,20250
369,id_369,Product B,Male,Location 27,Region 2,16600
370,id_370,Product B,Female,Location 185,Region 6,16600
371,id_371,Product B,Female,Location 53,Region 6,16600
372,id_372,Product A,Male,Location 186,Region 14,19250
373,id_373,Product D,Female,Location 187,Region 2,20250
374,id_374,Product B,Male,Location 30,Region 2,16600
375,id_375,Product B,Female,Location 21,Region 7,16600
376,id_376,Product A,Male,Location 149,Region 1,22250
377,id_377,Product A,Female,Location 46,Region 2,19250
378,id_378,Product A,Female,Location 61,Region 2,22250
379,id_379,Product B,Male,Location 30,Region 2,16600
380,id_380,Product A,Female,Location 3,Region 3,19250
381,id_381,Product A,Male,Location 33,Region 3,
382,id_382,Product A,Male,Location 37,Region 4,20250
383,id_383,Product A,Male,Location 3,Region 3,20750
384,id_384,Product B,Male,Location 105,Region 10,16600
385,id_385,Product B,Female,Location 97,Region 5,16600
386,id_386,Product B,Male,Location 140,Region 6,16600
387,id_387,Product B,Male,Location 146,Region 6,16600
388,id_388,Product A,Female,Location 113,Region 3,20250
389,id_389,Product B,Male,Location 6,Region 1,16600
390,id_390,Product A,Male,Location 192,Region 6,22250
391,id_391,Product C,Female,Location 193,Region 6,15600
392,id_392,Product B,Male,Location 49,Region 6,16600
393,id_393,Product B,Female,Location 3,Region 3,16600
394,id_394,Product C,NotSpecified,Location 194,Region 4,15600
395,id_395,Product B,Female,Location 30,Region 2,16600
396,id_396,Product C,Female,Location 195,Region 5,15600
397,id_397,Product A,Male,Location 57,Region 6,19250
398,id_398,Product A,Male,Location 29,Region 1,20250
399,id_399,Product B,Male,Location 73,Region 4,16600
400,id_400,Product B,Male,Location 53,Region 6,16600
401,id_401,Product B,Male,Location 60,Region 3,16600
402,id_402,Product B,Female,Location 18,Region 7,16600
403,id_403,Product C,Male,Location 118,Region 2,15600
404,id_404,Product B,Male,Location 196,Region 2,16600
405,id_405,Product A,Female,Location 20,Region 1,19250
406,id_406,Product B,Female,Location 197,Region 5,16600
407,id_407,Product D,Male,Location 198,Region 3,20250
408,id_408,Product A,Male,Location 62,Region 3,20250
409,id_409,Product F,Male,Location 39,Region 6,69225
410,id_410,Product C,Male,Location 199,Region 2,15600
411,id_411,Product B,Male,Location 58,Region 6,16600
412,id_412,Product B,Male,Location 87,Region 6,16600
413,id_413,Product B,Male,Location 135,Region 1,16600
414,id_414,Product C,Female,Location 200,Region 6,15600
415,id_415,Product A,Male,Location 8,Region 2,22250
