Name,Description,URL,Image,Provider,Date Published,Category
Facebook thought about charging for access to user <b>data</b>,"The social site struggled with its approach to handling customer info. A key cache of internal Facebook documents is continuing to shed light on some of Facebook&#39;s past thinking. Thanks to an unredacted court filing, the Wall Street Journal has obtained ...",https://www.engadget.com/2018/11/28/facebook-mulled-charging-for-user-data-access/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.3E5D4B34C7FE6E13CC9FD4AFD5477A82&pid=News', 'width': 683, 'height': 455}}","[{'_type': 'Organization', 'name': 'Engadget', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR11270146015756f28e553328b5d358aa09764558&pid=News'}}}]",2018-11-29T01:39:00.0000000Z,ScienceAndTechnology
"Dunkin&#39; Customers&#39; <b>Data</b> Compromised, Company Announces","Dunkin&#39;, the company behind the Dunkin&#39; Donuts franchise, cautioned holders of its DD Perks rewards accounts that their accounts may have been compromised. Though the company did not reveal how many user accounts might have possibly been compromised, it ...",https://www.ibtimes.com/dunkin-customers-data-compromised-company-announces-2737030,,"[{'_type': 'Organization', 'name': 'International Business Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270330daef24e833cc9a2355de42f4324b87ea&pid=News'}}}]",2018-11-29T03:42:00.0000000Z,ScienceAndTechnology
Two Iranian citizens charged in cyberattacks on US cities; victims paid $6 million in ransom for hijacked <b>data</b>,"WASHINGTON – Two Iranian citizens were charged Wednesday as part of a sophisticated international computer hacking scheme targeting U.S. city governments, hospitals and transportation systems in which victims paid $6 million in ransom for hijacked <b>data</b>.",https://www.usatoday.com/story/news/politics/2018/11/28/two-iranian-citizens-charged-cyberattacks-targeting-us-cities/2137342002/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.C0597547443A9808972A8C31A9FC8567&pid=News', 'width': 700, 'height': 392}}","[{'_type': 'Organization', 'name': 'USA Today', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112701169b58a8779383348cb22aedb790622595&pid=News'}}}]",2018-11-28T16:07:00.0000000Z,US
Space Could Fry Your Phone: How Space Tourists Can Protect Their Electronics (and <b>Data</b>),"NASA astronaut Don Pettit holds a ThinkPad at the International Space Station during Expedition 30. Before sending personal electronic devices to space, NASA tests them to make sure they can withstand the high levels of radiation out there. Credit: NASA ...",https://www.space.com/42567-space-tourism-protecting-electronics-and-data.html,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.432271F9A9D61512BB4351BAA081AC65&pid=News', 'width': 700, 'height': 459}}","[{'_type': 'Organization', 'name': 'Space.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR112701237574dff77b3e597ee2e337984c8a27ce&pid=News'}}}]",2018-11-28T20:26:00.0000000Z,ScienceAndTechnology
The Explosion of Consumer <b>Data</b> is Changing the Way Businesses Operate,"Who wants to be fat shamed by their fridge? According to Feng Zhao, CTO of Haier, the world’s leading white goods manufacturer by sales, this is one outcome of the ever-expanding Internet of Things.",http://fortune.com/2018/11/28/the-explosion-of-consumer-data-is-changing-the-way-businesses-operate/,,"[{'_type': 'Organization', 'name': 'Fortune', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR1127091515e5985b5402b180ad0ff3cdd458ddfd&pid=News'}}}]",2018-11-29T03:31:00.0000000Z,ScienceAndTechnology
"NBA strikes betting <b>data</b> deals with Sportradar, Genius Sports","(Reuters) - The National Basketball Association (NBA) struck its first betting <b>data</b> partnerships, allowing Genius Sports and Sportradar AG to distribute <b>data</b> to licensed sports betting operators in the United States. The partnerships cover official betting ...",https://www.reuters.com/article/us-nba-sportradar/nba-strikes-betting-data-deals-with-sportradar-genius-sports-idUSKCN1NX1TJ?feedType=RSS&feedName=businessNews&src=rss,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.E5D35854E4FE1473B961A74E3DA6DB4F&pid=News', 'width': 700, 'height': 439}}","[{'_type': 'Organization', 'name': 'Reuters', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112703088c55db8372fb09eff5a52e3f20e47c08&pid=News'}}}]",2018-11-28T18:46:00.0000000Z,Sports
Amazon Web Services will sell hardware to hybrid cloud customers to run in their own <b>data</b> centers,"GeekWire is reporting this week from Amazon’s signature cloud technology conference in Las Vegas, as the public cloud giant announces new products, partnerships and technology initiatives. AWS CEO Andy Jassy (left) and VMware CEO Pat Gelsinger introduce ...",https://www.geekwire.com/2018/amazon-web-services-will-sell-hardware-hybrid-cloud-customers-run-data-centers/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.0C992246E76D63E4F8114A0A78FD91D3&pid=News', 'width': 700, 'height': 466}}","[{'_type': 'Organization', 'name': 'GeekWire', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270753f31b8cc7aee06a56fa7c7c058ce811ac&pid=News'}}}]",2018-11-28T18:51:00.0000000Z,ScienceAndTechnology
IBM Brings Enhanced <b>Data</b> Models to QRadar Advisor With Watson 2.0,"IBM is expanding the capabilities of its QRadar Advisor with Watson platform, including new <b>data</b> learning models and support for the MITRE ATT&amp;CK Framework. IBM announced on Nov. 28 that it is expanding the capabilities of its QRadar Advisor with Watson ...",http://www.eweek.com/security/ibm-brings-enhanced-data-models-to-qradar-advisor-with-watson-2.0,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.A3443BE1075E0A00AFAF5C5532D20373&pid=News', 'width': 700, 'height': 466}}","[{'_type': 'Organization', 'name': 'eWeek', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270940573b27a33ca2873969ce1850fca4946a&pid=News'}}}]",2018-11-28T18:52:00.0000000Z,ScienceAndTechnology
Misconceptions About <b>Data</b> Lakes And Their Role In Enterprise <b>Data</b> Storage,"Opinions expressed by Forbes Contributors are their own. Lucas Roh is CEO of Bigstep, a pioneer of cloud computing for 20-plus years, a serial entrepreneur and investor. He has a Ph.D. in computer science. In regard to big <b>data</b> storage, there seems to be ...",https://www.forbes.com/sites/forbestechcouncil/2018/11/28/misconceptions-about-data-lakes-and-their-role-in-enterprise-data-storage/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.43B7A52F345A855F28C107B0FD3F3ADF&pid=News', 'width': 600, 'height': 315}}","[{'_type': 'Organization', 'name': 'Forbes', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR1127030853a9d86b81ee7fe4451218e0f95e2136&pid=News'}}}]",2018-11-28T11:30:00.0000000Z,ScienceAndTechnology
Goldman Crunches <b>Data</b> to Pick the Best Trades for G-20 Rally,"It’s no secret that global trade tensions have spurred market volatility, which means this week’s G-20 meeting is likely to offer both peril and opportunity for investors. The gathering in Buenos Aires, which will include a much-watched dinner between ...",https://www.bloomberg.com/news/articles/2018-11-28/goldman-crunches-data-to-pick-the-best-trades-for-a-g-20-rally,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.FDB5773CEAEE4E5186BFDFF3CDD49B04&pid=News', 'width': 700, 'height': 466}}","[{'_type': 'Organization', 'name': 'Bloomberg L.P.', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11241016c809c0b228821ed7b95768a5fc8e66ba&pid=News'}}}]",2018-11-28T13:53:00.0000000Z,Business
Can big <b>data</b> and innovation save the NHS?,"“Let me just try work this one out.” They’re not exactly the words you would want to hear from anyone working in the NHS. Luckily, in this case it’s not life or death. It’s just someone trying to connect a conference call. But for an institution ...",https://www.telegraph.co.uk/technology/2018/11/29/can-big-data-innovation-save-nhs/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.C8479B40530A8ADE0C3BBEF238C3827F&pid=News', 'width': 700, 'height': 437}}","[{'_type': 'Organization', 'name': 'The Daily Telegraph'}]",2018-11-29T00:00:00.0000000Z,Health
Amazon re:Invent: <b>Data</b> partner news summary,"Amazon Web Services&#39; (AWS&#39;) re:Invent conference in Las Vegas, though it focuses broadly on the AWS cloud, has become a coming out party for the Seattle-based provider&#39;s <b>data</b>, analytics and AI-related services. But beyond that, re:invent is a <b>data</b> industry ...",https://www.zdnet.com/article/amazon-reinvent-data-partner-news-summary/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.7026B4E2D78807547C4D6ADE19AFEB81&pid=News', 'width': 700, 'height': 525}}","[{'_type': 'Organization', 'name': 'ZDNet', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270119f7ca5e6abc81a56bf46176b7fdab5253&pid=News'}}}]",2018-11-28T21:34:00.0000000Z,ScienceAndTechnology
AWS Lake Formation makes setting up <b>data</b> lakes easier,"The concept of <b>data</b> lakes has been around for a long time, but being able to set up one of these systems, which store vast amounts of raw <b>data</b> in its native formats, was never easy. AWS wants to ...",https://techcrunch.com/2018/11/28/aws-lake-formation-makes-setting-up-data-lakes-easier/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.5291714CC33270E409A92F3FC9FDD5E9&pid=News', 'width': 300, 'height': 160}}","[{'_type': 'Organization', 'name': 'TechCrunch', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112704353387be370c2448216e2ac4e9ebbda6c4&pid=News'}}}]",2018-11-28T17:17:00.0000000Z,ScienceAndTechnology
Business Insights Are A Many-Splendored Thing -- <b>Data</b> Is Meant For More,"Give me a dashboard. Give me a report. Give me better insights. If that’s your approach, it’s old-school and you’re falling behind. Leading enterprises have shifted their <b>data</b> sensibilities to action-oriented insights. “Interesting” is no longer ...",https://www.forbes.com/sites/forrester/2018/11/28/business-insights-are-a-many-splendored-thing-data-is-meant-for-more/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.89DACAFD26208DC2589183B7F719C4FD&pid=News', 'width': 600, 'height': 315}}","[{'_type': 'Organization', 'name': 'Forbes', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR1127030853a9d86b81ee7fe4451218e0f95e2136&pid=News'}}}]",2018-11-28T18:27:00.0000000Z,
Black box <b>data</b> shows pilots fought control system in Indonesia crash,More evidence supporting the theory that faulty sensor <b>data</b> caused the crash of a Lion Air Boeing 737 MAX in October has emerged from the aircraft&#39;s flight <b>data</b> recorder. A report released on ...,https://arstechnica.com/information-technology/2018/11/black-box-data-shows-pilot-fought-control-system-in-indonesia-crash/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.58A39BB5803FDE05ABC4D274B9791C8E&pid=News', 'width': 700, 'height': 467}}","[{'_type': 'Organization', 'name': 'Ars Technica', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270537ba36fbc6b5ca233cd651e8aadec117c6&pid=News'}}}]",2018-11-28T21:23:00.0000000Z,
Java proposal would spot <b>data</b> races with a thread sanitizer,"Java’s HotSpot virtual machine could be fitted with a race-detection tool and other monitoring capabilities, under a proposal being floated in the OpenJDK community. A <b>data</b> race in a Java program makes the program incorrectly synchronized, which leads ...",https://www.infoworld.com/article/3324600/java/java-proposal-would-spot-data-races-with-a-thread-sanitizer.html,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.FF4C5B6888B760325515013CD2D70CFC&pid=News', 'width': 700, 'height': 467}}","[{'_type': 'Organization', 'name': 'InfoWorld'}]",2018-11-28T11:04:00.0000000Z,ScienceAndTechnology
9 nations slam Facebook for its failures to protect <b>data</b> and stop fake news. Zuckerberg doesn&#39;t attend,"Facebook Inc. faced a fresh lashing Tuesday from regulators representing Canada, France, Britain and six other countries upset about the social-networking giant&#39;s inability to stop the spread of misinformation online and protect its users&#39; personal <b>data</b>.",https://www.latimes.com/business/technology/la-fi-tn-facebook-privacy-fake-news-20181127-story.html,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.401F5E2BBDA331C15008FCC0ACB61FE5&pid=News', 'width': 700, 'height': 393}}","[{'_type': 'Organization', 'name': 'Los Angeles Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR11270310c0a5f5c6933b6e6363ed5feb079255c9&pid=News'}}}]",2018-11-28T08:25:00.0000000Z,ScienceAndTechnology
ElasticSearch server exposed the personal <b>data</b> of over 57 million US citizens,"An ElasticSearch server that was left open on the Internet without a password has leaked the personal information of nearly 57 million Americans for almost two weeks, ZDNet has learned. The leaky server was spotted by Bob Diachenko, Director of Cyber Risk ...",https://www.zdnet.com/article/elasticsearch-server-exposed-the-personal-data-of-over-57-million-us-citizens/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.65470EB3BE87361DFD442FDFCC13A8B2&pid=News', 'width': 370, 'height': 531}}","[{'_type': 'Organization', 'name': 'ZDNet', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270119f7ca5e6abc81a56bf46176b7fdab5253&pid=News'}}}]",2018-11-28T15:00:00.0000000Z,ScienceAndTechnology
Cultural shift needed to keep trust in use of patient <b>data</b> by health technology,"A radical culture change in the NHS, and across the health <b>data</b> and medical technology community, is needed to make sure that the NHS can deliver the benefits of new health technologies that use patient <b>data</b> for care, and to retain public trust, says a new ...",https://www.eurekalert.org/pub_releases/2018-11/aoms-csn112718.php,,"[{'_type': 'Organization', 'name': 'EurekAlert!', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR112701497b5ce5d52b188d6e85f350295867debb&pid=News'}}}]",2018-11-29T00:25:00.0000000Z,Health
What are tech companies doing about ethical use of <b>data</b>? Not much,Tech companies have an economic imperative to avoid grappling too seriously with the ethical issues surrounding <b>data</b> usage. Credit: Shutterstock Our relationship with tech companies has changed ...,https://phys.org/news/2018-11-tech-companies-ethical.html,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.303DA3C792ACFD4D7679BBD3E8C92C7A&pid=News', 'width': 700, 'height': 420}}","[{'_type': 'Organization', 'name': 'Phys.org'}]",2018-11-28T13:53:00.0000000Z,ScienceAndTechnology
"Indoor mapping startup Point Inside raises $3.5M to produce ‘spatial intelligence’ <b>data</b> for retailers, airports, others",(Point Inside Photo) Point Inside CEO Josh Marti. Seattle-area startup Point Inside has raised a $3.5 million round led by Florida-based private equity investment firm Vestech Partners to help fuel growth of its indoor mapping platform. What they do ...,https://www.geekwire.com/2018/indoor-mapping-startup-point-inside-raises-3-5m-produce-spatial-intelligence-data-retailers-airports-others/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.DF83F3C539F97E151B05ECB94D19FABE&pid=News', 'width': 630, 'height': 630}}","[{'_type': 'Organization', 'name': 'GeekWire', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270753f31b8cc7aee06a56fa7c7c058ce811ac&pid=News'}}}]",2018-11-28T17:03:00.0000000Z,ScienceAndTechnology
7 ways event <b>data</b> is transforming lead capture,There’s a reason that companies spend about 24 percent of their budget on live events — and that attendees travel an average of 500 miles and invest upwards of $1000 and two to three days each ...,https://venturebeat.com/2018/11/28/7-ways-event-data-is-transforming-lead-capture/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.378ABCF08FA42D4D0994D954813BFB8D&pid=News', 'width': 577, 'height': 409}}","[{'_type': 'Organization', 'name': 'VentureBeat', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR11270435a8f0890373abe06194e21862d591297e&pid=News'}}}]",2018-11-28T11:10:00.0000000Z,ScienceAndTechnology
Sportsbooks will use real-time NBA <b>data</b> for in-game betting odds this season,"NEW YORK -- Real-time, official NBA <b>data</b> will be used to generate in-game betting odds and then be distributed to licensed sportsbooks in the U.S. through multiple partners in a deal announced ...",https://abcnews.go.com/Sports/sportsbooks-real-time-nba-data-game-betting-odds/story?id=59467738,,"[{'_type': 'Organization', 'name': 'ABC News', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR11270116f8b32789f686c3f36f3ef26bff413db4&pid=News'}}}]",2018-11-28T13:16:00.0000000Z,Sports
Lion Air flight <b>data</b>: Pilots struggled against anti-stall system,"Nov. 27 (UPI) --Information from the flight <b>data</b> recorder in the deadly crash of Lion Air Flight 610, released Tuesday, showed an anti-stall system was pushing the Boeing 737&#39;s nose down. <b>Data</b> from the so-called black box recorder showed the new Boeing ...",https://www.upi.com/Top_News/World-News/2018/11/27/Lion-Air-flight-data-Pilots-struggled-against-anti-stall-system/5931543368009/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.F78B10F61C1D5D357166D7E49251FB3D&pid=News', 'width': 700, 'height': 466}}","[{'_type': 'Organization', 'name': 'Upi.com', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270923729a377a4e0e603b229e4bf56f3a5ad9&pid=News'}}}]",2018-11-28T03:04:00.0000000Z,
How the Louvre Abu Dhabi created a &#39;night sky&#39; from visitor <b>data</b>,"To see how the Louvre Abu Dhabi was created, visit our interactive feature &quot;A Monument rises from the sand.&quot; For more coverage on the museum, head to CNN Style&#39;s Inside the Louvre Abu Dhabi. In the lobby of the Louvre Abu Dhabi, during its one-year ...",https://www.cnn.com/style/article/louvre-abu-dhabi-constellations/index.html,,"[{'_type': 'Organization', 'name': 'CNN', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR11270308b74046628b12e0629949e6c26a329018&pid=News'}}}]",2018-11-28T14:48:00.0000000Z,
WADA Experts Hold Talks in Moscow About Doping Lab <b>Data</b>,"MOSCOW — A delegation from the World Anti-Doping Agency held talks with Russian authorities in Moscow on Wednesday as it tries to access <b>data</b> which could mean more bans for the country&#39;s top athletes. Later Wednesday, the delegation will visit the Moscow ...",https://www.nytimes.com/aponline/2018/11/28/sports/olympics/ap-oly-russian-doping-wada.html,,"[{'_type': 'Organization', 'name': 'The New York Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112704351b3726503af8d49e9073524443235308&pid=News'}}}]",2018-11-28T10:22:00.0000000Z,World
"Lion Air pilots struggled to save Boeing 737 MAX before Indonesia crash, black box <b>data</b> show","Black box <b>data</b> collected from their crashed Boeing 737 MAX 8 show Lion Air pilots struggled to maintain control as the aircraft&#39;s automatic safety system repeatedly pushed the plane&#39;s nose down, according to a preliminary investigation into last month&#39;s ...",https://www.chicagotribune.com/business/ct-biz-lion-air-crash-report-boeing-737-max-20181128-story.html,,"[{'_type': 'Organization', 'name': 'Chicago Tribune', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112703088389e4ac0552cd50a9f07f86e23462e7&pid=News'}}}]",2018-11-29T02:57:00.0000000Z,Business
Intelligent framework aims to optimize <b>data</b> transfer in 5G networks,A North Carolina State University researcher has developed technology designed to allow cellular communication nodes in 5G systems to partition bandwidth more efficiently in order to improve end ...,https://phys.org/news/2018-11-intelligent-framework-aims-optimize-5g.html,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.251E002E1092EF478069F3D6FFA7D668&pid=News', 'width': 700, 'height': 420}}","[{'_type': 'Organization', 'name': 'Phys.org'}]",2018-11-28T18:09:00.0000000Z,ScienceAndTechnology
"Amazon launches AWS SageMaker Ground Truth, an automated <b>data</b> labeling service","Amazon today introduced AWS SageMaker Ground Truth to provide <b>data</b> labeling for training AI models through humans or through a custom AI model. Also announced today: Inferentia, a new AWS chip ...",https://venturebeat.com/2018/11/28/amazon-launches-aws-sagemaker-ground-truth-an-automated-data-labeling-service/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.161BDE8B35FECDCFC0C4B2FA327B993D&pid=News', 'width': 578, 'height': 309}}","[{'_type': 'Organization', 'name': 'VentureBeat', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR11270435a8f0890373abe06194e21862d591297e&pid=News'}}}]",2018-11-28T17:51:00.0000000Z,ScienceAndTechnology
